City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mataura,NZ,50.49,broken clouds,-46.1927,168.8643,Ellie's Villa
3,Avarua,CK,73.45,light rain,-21.2078,-159.775,Paradise Inn
4,Alta Floresta,BR,87.62,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
6,Port Blair,IN,79.93,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
8,Meulaboh,ID,78.89,broken clouds,4.1363,96.1285,Kost Pria
9,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
10,Pozo Colorado,PY,95.95,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
13,Hilo,US,74.93,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
15,Hermanus,ZA,73.9,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
16,Atuona,PF,78.35,light rain,-9.8,-139.0333,Villa Enata
17,Oistins,BB,84.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
18,Busselton,AU,66.04,clear sky,-33.65,115.3333,Observatory Guest House
19,Bredasdorp,ZA,68.29,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
21,Punta Arenas,CL,53.62,scattered clouds,-53.15,-70.9167,Hotel Hain
23,Rikitea,PF,75.54,overcast clouds,-23.1203,-134.9692,People ThankYou
25,Camacha,PT,64.53,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
26,Lata,PT,60.35,overcast clouds,40.1629,-8.3327,Casa Maquia
28,Thio,NC,73.36,few clouds,-21.6167,166.2167,La Ferme de Thio
30,Ampanihy,MG,81.81,broken clouds,-24.7,44.75,Angora Hotel
32,Puerto Ayora,EC,71.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,Kolokani,ML,93.61,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
34,Saint-Philippe,RE,80.15,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
35,Bol,TD,82.56,scattered clouds,13.4586,14.7147,Hotel 3 Etoiles
36,Piacabucu,BR,86.67,broken clouds,-10.4056,-36.4344,Piaçabuçu News
39,Cidreira,BR,72.79,scattered clouds,-30.1811,-50.2056,Hotel Castelo
40,Odweyne,SO,67.73,broken clouds,9.4092,45.064,Eng Hiirey House
41,Carnarvon,AU,73.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
42,Butaritari,KI,82.53,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
43,Lagoa,PT,59.72,overcast clouds,39.05,-27.9833,Casa Das Faias
45,Tabuk,PH,67.06,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
46,Rawson,AR,91.72,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
50,Karaton,ID,78.96,light rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
