City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Estrela,BR,-28.0611,-50.9383,73.22,45,50,6.96,scattered clouds
1,Mataura,NZ,-46.1927,168.8643,50.49,97,78,2.55,broken clouds
2,Roald,NO,62.5833,6.1333,39.33,60,75,14.97,broken clouds
3,Avarua,CK,-21.2078,-159.775,73.45,100,90,2.3,light rain
4,Alta Floresta,BR,-9.8756,-56.0861,87.62,66,40,5.75,scattered clouds
5,Chulman,RU,56.8479,124.9104,-12.15,98,99,3.49,overcast clouds
6,Port Blair,IN,11.6667,92.75,79.93,69,49,13.29,scattered clouds
7,Cherskiy,RU,68.75,161.3,-40.04,100,82,2.57,broken clouds
8,Meulaboh,ID,4.1363,96.1285,78.89,80,71,3.2,broken clouds
9,Bambous Virieux,MU,-20.3428,57.7575,79.05,73,40,8.05,light rain
10,Pozo Colorado,PY,-23.4923,-58.7972,95.95,18,97,7.7,overcast clouds
11,Luderitz,NA,-26.6481,15.1594,70.84,64,0,19.89,clear sky
12,Ifanadiana,MG,-21.3,47.6333,73.22,79,9,3.67,clear sky
13,Hilo,US,19.7297,-155.09,74.93,46,90,5.75,overcast clouds
14,Norman Wells,CA,65.282,-126.8329,-2.16,78,75,5.75,broken clouds
15,Hermanus,ZA,-34.4187,19.2345,73.9,75,62,16.98,broken clouds
16,Atuona,PF,-9.8,-139.0333,78.35,74,62,20.33,light rain
17,Oistins,BB,13.0667,-59.5333,84.29,61,75,23.02,broken clouds
18,Busselton,AU,-33.65,115.3333,66.04,66,2,18.41,clear sky
19,Bredasdorp,ZA,-34.5322,20.0403,68.29,64,76,13.8,broken clouds
20,Khelyulya,RU,61.7333,30.6833,14.0,96,100,3.85,overcast clouds
21,Punta Arenas,CL,-53.15,-70.9167,53.62,43,40,33.38,scattered clouds
22,Dikson,RU,73.5069,80.5464,-15.68,100,63,10.54,broken clouds
23,Rikitea,PF,-23.1203,-134.9692,75.54,74,94,22.91,overcast clouds
24,Severo-Kurilsk,RU,50.6789,156.125,30.72,60,96,28.45,overcast clouds
25,Camacha,PT,33.0833,-16.3333,64.53,59,75,10.36,broken clouds
26,Lata,PT,40.1629,-8.3327,60.35,90,100,14.72,overcast clouds
27,Vardo,NO,70.3705,31.1107,15.78,62,0,21.85,clear sky
28,Thio,NC,-21.6167,166.2167,73.36,87,24,5.59,few clouds
29,Kodiak,US,57.79,-152.4072,33.31,47,1,42.57,clear sky
30,Ampanihy,MG,-24.7,44.75,81.81,37,55,9.28,broken clouds
