City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ancud,CL,2021-12-07 10:04:39,-41.8697,-73.8203,56.23,93,97,10.83
1,Kaduqli,SD,2021-12-07 10:05:05,11.0167,29.7167,97.61,12,9,9.04
2,Praia Da Vitoria,PT,2021-12-07 10:05:05,38.7333,-27.0667,61.75,85,67,16.55
3,Najran,SA,2021-12-07 10:04:10,17.4924,44.1277,77.29,12,0,10.11
4,Sibolga,ID,2021-12-07 10:05:06,1.7427,98.7792,83.71,70,17,2.73
5,Nosy Varika,MG,2021-12-07 10:05:06,-20.5833,48.5333,84.02,60,27,10.56
6,Severo-Kurilsk,RU,2021-12-07 10:05:06,50.6789,156.125,30.79,61,82,34.54
7,Punta Arenas,CL,2021-12-07 10:05:07,-53.15,-70.9167,44.71,65,75,25.32
8,Ponta Do Sol,PT,2021-12-07 10:01:57,32.6667,-17.1,67.71,63,46,4.94
9,Vaini,TO,2021-12-07 10:05:07,-21.2,-175.2,77.86,78,98,17.67
10,Pareora,NZ,2021-12-07 10:05:07,-44.4871,171.2132,50.79,92,21,5.06
11,Pochutla,MX,2021-12-07 10:05:07,15.7432,-96.4661,73.81,69,21,3.83
12,Baykit,RU,2021-12-07 10:05:08,61.67,96.37,6.35,97,100,1.7
13,Saint-Philippe,RE,2021-12-07 10:05:08,-21.3585,55.7679,85.55,73,29,11.88
14,Atuona,PF,2021-12-07 10:05:08,-9.8,-139.0333,78.28,74,16,19.3
15,West Monroe,US,2021-12-07 10:05:08,32.5185,-92.1476,43.52,64,90,12.66
16,Naica,MX,2021-12-07 10:04:57,27.85,-105.4833,55.45,59,0,4.36
17,Hobart,AU,2021-12-07 10:05:09,-42.8794,147.3294,52.05,68,20,1.01
18,Mutis,CO,2021-12-07 10:05:09,6.2262,-77.4044,77.05,91,99,4.36
19,Florianopolis,BR,2021-12-07 10:05:09,-27.6146,-48.5012,69.62,72,75,14.97
20,Camacha,PT,2021-12-07 10:05:09,33.0833,-16.3333,60.53,63,75,5.75
21,Talnakh,RU,2021-12-07 10:02:54,69.4865,88.3972,-11.79,98,100,7.45
22,Yar-Sale,RU,2021-12-07 10:05:10,66.8333,70.8333,-1.59,89,100,18.48
23,Hilo,US,2021-12-07 10:05:10,19.7297,-155.09,78.28,46,90,4.61
